artist_name,count
Built to Spill,36650
John Lennon,36581
Alcest,36554
Seether,36416
Joe Satriani,36391
Major Lazer,36228
The Sisters of Mercy,36181
The Stranglers,36127
Girl Talk,36094
Blue Öyster Cult,36089
Caravan Palace,36062
Secret Chiefs 3,35987
"Junichi Masuda, Go Ichinose",35976
J Dilla,35805
Paul Simon,35776
Chachani,35681
Kings of Convenience,35545
Alkaline Trio,35051
Carcass,34973
El Ten Eleven,34876
Jean Michel Jarre,34861
The Hives,34797
Solar Fields,34797
My Dying Bride,34781
Tim Hecker,34779
Mac Miller,34748
Charli XCX,34724
Boris,34556
The Fall,34439
Anberlin,34332
HammerFall,34331
Lynyrd Skynyrd,34251
Dead Kennedys,34249
The Cinematic Orchestra,34153
Chevelle,34131
Ben Folds,34130
My Morning Jacket,33943
Between the Buried and Me,33857
The Glitch Mob,33831
Current 93,33815
Battles,33656
Miike Snow,33645
Kelly Clarkson,33589
Coil,33529
Therion,33508
Bloodhound Gang,33479
Bombay Bicycle Club,33258
J. Cole,33159
Zebrahead,33130
Paul McCartney,33099
Plaid,33068
The Dear Hunter,33028
Murray Gold,33020
Calexico,33011
Lupe Fiasco,32922
Metronomy,32840
Christina Aguilera,32735
Darkthrone,32698
Pretty Lights,32623
The Notorious B.I.G.,32614
Hypocrisy,32611
Godsmack,32532
Good Charlotte,32518
Imogen Heap,32512
Death from Above 1979,32400
Blondie,32350
Counting Crows,32297
Van Morrison,32275
Chelsea Wolfe,32265
Stephen Bennett & Jamie McMenamy,32189
Guano Apes,32171
VNV Nation,32095
Volbeat,32051
Django Reinhardt,32047
Manowar,32046
Bjørn Arve Lagim,31928
Ani DiFranco,31878
Groove Armada,31865
Killing Joke,31791
Perfume,31708
Devin Townsend,31707
Enslaved,31681
Warpaint,31678
Sara Bareilles,31667
Nero,31649
José González,31478
DragonForce,31450
Broadcast,31304
Samael,31212
Maxïmo Park,31198
TOKiMONSTA,31122
Mew,31107
Сплин,31097
Stone Sour,31060
Silversun Pickups,31023
Bruno Mars,31005
Mark Lanegan,30952
múm,30862
Dido,30858
Orchestral Manoeuvres in the Dark,30854
Circa Survive,30827
The Album Leaf,30823
Jerry Goldsmith,30815
Serj Tankian,30786
Chumbawamba,30727
Fever Ray,30724
Trentemøller,30710
Animals as Leaders,30685
Pain,30652
At the Gates,30585
Anaal Nathrakh,30541
Dio,30503
Shinedown,30501
The Verve,30493
a-ha,30488
佐橋俊彦,30439
Apparat,30437
Trent Reznor and Atticus Ross,30425
Alexisonfire,30408
John Coltrane,30407
The Stone Roses,30393
Nicki Minaj,30387
Disclosure,30387
La Dispute,30361
Einstürzende Neubauten,30323
Dance Gavin Dance,30322
Thom Yorke,30175
Camel,30165
Nils Frahm,30155
Pennywise,30119
The Fratellis,30110
Siouxsie and the Banshees,30097
Helios,30093
Mika,30075
The Gaslight Anthem,30071
Third Eye Blind,30066
Atreyu,30052
City and Colour,30034
Devo,29991
The Naked and Famous,29979
Bohren & der Club of Gore,29978
Bob Marley,29928
Elbow,29904
Fantômas,29874
Ólafur Arnalds,29861
Blackfield,29860
Mark Knopfler,29802
The Lonely Island,29787
Def Leppard,29724
Jeff Buckley,29718
Phil Collins,29698
Train,29638
Neko Case,29627
Flume,29585
Bathory,29560
Bear McCreary,29530
Epik High,29520
The Crystal Method,29520
Finntroll,29502
The Tallest Man on Earth,29479
Alter Bridge,29465
Hammock,29447
Wire,29358
Maybeshewill,29304
Simple Plan,29249
Jack White,29216
Robyn,29186
Laibach,29160
Architects,29132
Jefferson Airplane,29069
Kent,29037
Reel Big Fish,29009
Oomph!,28974
Angels & Airwaves,28948
Unicorn Ensemble,28944
XTC,28919
소녀시대,28851
Cream,28817
Rome,28788
All That Remains,28786
Hooverphonic,28760
Danzig,28738
Digitalism,28715
Ryan Adams,28712
Shpongle,28712
Vader,28709
